time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003530,-0.2915,0.2280,0.0805,0.379
0.003899,-0.1212,0.1235,-0.1826,0.252
0.006661,-0.0270,-0.0390,-0.4461,0.449
0.011165,0.0399,-0.1261,-0.6078,0.622
0.016132,0.1968,-0.2167,-0.5974,0.665
0.022173,0.3305,-0.2877,-0.4730,0.645
0.025899,0.4072,-0.2667,-0.3970,0.628
0.030678,0.3459,-0.2498,-0.2999,0.522
0.035374,0.2597,-0.2069,-0.0587,0.337
0.040528,0.1652,-0.1601,0.3042,0.381
0.045285,0.0834,-0.0721,0.6072,0.617
0.049797,0.0310,0.0138,0.7275,0.728
0.055208,-0.0344,0.1283,0.7259,0.738
0.059996,-0.0464,0.2307,0.6913,0.730
0.064364,-0.0793,0.2669,0.6689,0.725
0.069188,-0.0790,0.3136,0.6230,0.702
0.074675,-0.0629,0.3567,0.5823,0.686
0.083284,-0.0387,0.3515,0.4993,0.612
0.084088,-0.0262,0.3081,0.4217,0.523
0.089732,0.0075,0.1961,0.3306,0.384
0.093642,0.0026,0.1136,0.2401,0.266
0.098709,-0.0053,0.0435,0.1552,0.161
0.104562,-0.0378,0.0403,0.1207,0.133
0.108119,-0.1138,0.0418,0.1031,0.159
0.113032,-0.2022,0.1379,0.1378,0.281
0.118264,-0.2840,0.2187,0.2101,0.415
0.122971,-0.3450,0.3054,0.2603,0.529
0.127714,-0.3947,0.3576,0.3030,0.613
0.132709,-0.4024,0.3895,0.3239,0.647
0.137500,-0.3917,0.3732,0.3469,0.643
0.142287,-0.3726,0.3396,0.3578,0.618
0.147448,-0.3354,0.3222,0.3425,0.578
0.151943,-0.3133,0.3283,0.2964,0.542
0.156960,-0.2729,0.3172,0.2460,0.485
0.161711,-0.2356,0.3370,0.2149,0.464
0.166582,-0.1775,0.3281,0.2031,0.425
0.171347,-0.1317,0.3097,0.2009,0.392
0.176477,-0.0695,0.3154,0.1750,0.367
0.182056,-0.0404,0.2832,0.1423,0.320
0.189395,-0.0321,0.2301,0.1265,0.265
0.193241,0.0127,0.1967,0.1393,0.241
0.195676,-0.0038,0.1331,0.1592,0.208
0.200437,-0.0121,0.1203,0.1410,0.186
0.205432,-0.0026,0.1058,0.1231,0.162
0.210266,-0.0325,0.0919,0.1100,0.147
0.214895,-0.0706,0.0929,0.1256,0.171
0.220568,-0.0841,0.0873,0.1482,0.191
0.224541,-0.1657,0.0990,0.1825,0.266
0.229479,-0.1732,0.0802,0.2498,0.314
0.234625,-0.2809,0.0882,0.3047,0.424
0.239083,-0.3551,0.0965,0.3258,0.491
0.243926,-0.4650,0.1098,0.3516,0.593
0.248934,-0.5321,0.1066,0.3486,0.645
0.253976,-0.5709,0.1153,0.3409,0.675
0.259295,-0.6194,0.1714,0.3237,0.720
0.263589,-0.6492,0.2057,0.2830,0.737
0.268169,-0.6747,0.2112,0.2378,0.746
0.273261,-0.6533,0.1812,0.2523,0.723
0.278186,-0.5853,0.1394,0.3379,0.690
0.286933,-0.4757,0.1026,0.3682,0.610
0.287573,-0.3576,0.0658,0.3484,0.504
0.294816,-0.2427,0.0433,0.2955,0.385
0.297084,-0.1353,0.0280,0.2811,0.313
0.303425,-0.0546,0.0079,0.2834,0.289
0.307706,-0.0258,0.0354,0.2478,0.252
0.311940,0.0204,0.0554,0.1532,0.164
0.316762,0.0396,0.0494,-0.0379,0.074
0.321421,0.0865,0.0273,-0.1253,0.155
0.326246,0.1507,0.0083,-0.1361,0.203
0.331305,0.1315,0.0044,-0.0992,0.165
0.336099,0.1070,-0.0037,-0.1077,0.152
0.340812,0.0917,0.0054,-0.0948,0.132
0.345602,0.0886,0.0029,-0.1151,0.145
0.350888,0.0486,0.0245,-0.1662,0.175
0.355639,0.0059,0.0128,-0.2096,0.210
0.360331,-0.0180,0.0298,-0.2337,0.236
0.365182,-0.0876,0.0301,-0.2219,0.240
0.370330,-0.1272,0.0472,-0.1533,0.205
0.374882,-0.2159,0.0360,-0.0994,0.240
0.379823,-0.2756,0.0844,-0.0911,0.302
0.384587,-0.3422,0.1610,-0.0567,0.382
0.389261,-0.4162,0.2062,-0.0559,0.468
0.394428,-0.4689,0.2935,-0.1238,0.567
0.399164,-0.4790,0.3776,-0.2197,0.648
0.404554,-0.4728,0.4419,-0.3433,0.733
0.409109,-0.4433,0.4607,-0.4278,0.769
0.413443,-0.3195,0.4677,-0.4690,0.735
0.419171,-0.2210,0.4134,-0.5027,0.687
0.423602,-0.1239,0.2890,-0.5408,0.626
0.428229,-0.0215,0.2210,-0.5738,0.615
0.432840,0.0746,0.1381,-0.6539,0.672
0.437977,0.1337,0.0952,-0.7286,0.747
0.443243,0.1542,0.0636,-0.7313,0.750
0.447717,0.1568,0.0572,-0.5964,0.619
0.452398,0.1654,0.0564,-0.4553,0.488
0.457145,0.0935,0.0282,-0.6951,0.702
0.462008,0.0447,0.0415,-0.7927,0.795
0.466987,0.0204,0.0794,-0.6806,0.685
0.471729,0.0900,0.1036,-0.4127,0.435
0.476533,0.2682,0.1373,-0.1637,0.343
0.483639,0.4716,0.1372,-0.1278,0.508
0.491957,0.6439,0.2028,-0.2181,0.709
0.492779,0.7835,0.2644,-0.2483,0.863
0.496083,0.8649,0.3287,-0.1407,0.936
0.504687,0.9286,0.4241,0.0039,1.021
0.505678,0.9653,0.5236,0.1235,1.105
0.510548,0.9399,0.5654,0.2253,1.120
0.515151,0.8881,0.5735,0.3119,1.102
0.520126,0.8195,0.5598,0.4308,1.082
0.525299,0.7960,0.5365,0.4133,1.045
0.529747,0.7113,0.5466,0.2368,0.928
0.535134,0.6017,0.4978,0.0948,0.787
0.541112,0.5281,0.4264,0.1272,0.691
0.544839,0.4874,0.3832,0.1665,0.642
0.549182,0.4414,0.3115,-0.0295,0.541
0.554792,0.4411,0.2647,-0.3757,0.637
0.558993,0.3190,0.2453,-0.6952,0.803
0.564003,0.0979,0.2606,-0.8268,0.872
0.568861,-0.0984,0.2467,-0.8861,0.925
0.574374,-0.2730,0.2872,-0.9021,0.985
0.578551,-0.3791,0.3343,-0.8371,0.978
0.583543,-0.3871,0.3616,-0.7440,0.913
0.588357,-0.3423,0.3742,-0.7725,0.924
0.592748,-0.2295,0.4123,-0.8672,0.987
0.597894,-0.1619,0.4612,-0.9777,1.093
0.603916,-0.0554,0.4472,-0.8950,1.002
0.607876,0.1338,0.4627,-0.5472,0.729
0.612485,0.3447,0.4429,-0.1668,0.585
0.617693,0.4679,0.4063,0.0277,0.620
0.621990,0.3961,0.3505,-0.0049,0.529
0.626895,0.4092,0.2923,0.1169,0.516
0.631622,0.5593,0.2886,0.3087,0.701
0.636946,0.7533,0.3224,0.5225,0.972
0.641843,0.7869,0.3839,0.6159,1.070
0.645903,0.6990,0.3613,0.6134,0.998
0.650800,0.6184,0.3741,0.5589,0.914
0.656365,0.6088,0.3675,0.4502,0.842
0.660639,0.7282,0.3515,0.3545,0.883
0.665241,0.7898,0.3501,0.2479,0.899
0.670295,0.7573,0.3206,0.1424,0.835
0.675011,0.6844,0.3272,0.1638,0.776
0.679976,0.5388,0.3435,0.2231,0.677
0.684918,0.4149,0.3857,0.2134,0.605
0.693860,0.1689,0.7600,0.3367,0.848
0.694488,0.2309,0.7251,0.2929,0.815
0.699727,-0.2679,1.1671,0.4392,1.276
0.704282,-0.0621,1.0758,0.3684,1.139
0.709237,0.2005,1.0462,0.4000,1.138
0.714338,0.5654,0.8834,0.4574,1.144
0.719010,0.7455,0.6907,0.5095,1.137
0.723804,0.7968,0.4922,0.4520,1.040
0.728718,0.8123,0.3333,0.4827,1.002
0.733951,0.7815,0.3559,0.3185,0.916
0.738448,0.5619,0.5110,0.0276,0.760
0.743255,0.5853,0.5123,-0.0402,0.779
0.748109,0.6449,0.3941,0.0562,0.758
0.753085,0.6419,0.2859,0.0617,0.705
0.757977,0.5733,0.2612,0.0812,0.635
0.763091,0.6949,0.1511,0.2143,0.743
0.767547,0.9121,0.1221,0.3367,0.980
0.772321,1.0751,0.1711,0.3085,1.131
0.777231,1.2893,0.1975,0.2969,1.338
0.781768,1.3437,0.3227,0.1453,1.390
0.786955,1.5414,0.2110,0.1966,1.568
0.791544,1.5018,0.1635,0.2069,1.525
0.796367,1.2322,0.2791,0.2646,1.291
0.802543,0.9552,0.4402,0.4118,1.130
0.806033,0.7241,0.5371,0.4510,1.008
0.811105,0.5227,0.6011,0.4494,0.915
0.815933,0.3089,0.5492,0.5094,0.810
0.820519,0.0990,0.4748,0.6590,0.818
0.825467,-0.1260,0.3801,0.7883,0.884
0.830458,-0.3190,0.3196,0.8310,0.946
0.835285,-0.3689,0.2597,0.7949,0.914
0.840000,-0.3225,0.1527,0.7518,0.832
0.844962,-0.1666,0.0846,0.6994,0.724
0.849902,0.0172,-0.0227,0.5193,0.520
0.854729,0.2356,-0.1213,0.3525,0.441
0.859752,0.4312,-0.1985,0.1325,0.493
0.864045,0.5297,-0.2372,-0.1165,0.592
0.869085,0.5065,-0.0801,-0.1736,0.541
0.874251,0.4496,0.1369,-0.2562,0.535
0.878857,0.3609,0.3474,-0.3689,0.622
0.883479,0.3091,0.5162,-0.3976,0.721
0.888640,0.2294,0.6413,-0.3714,0.776
0.898904,0.0863,0.7632,-0.3455,0.842
0.899561,-0.1339,0.9976,-0.1466,1.017
0.903323,-0.2164,1.2548,0.1004,1.277
0.907972,-0.0663,0.8527,0.2836,0.901
0.912769,0.0687,0.4938,0.5174,0.718
0.920616,0.1740,0.2577,0.5949,0.671
0.922045,0.2520,0.0480,0.4987,0.561
0.927182,0.2426,-0.0341,0.4341,0.498
0.933028,0.0856,0.1149,0.3796,0.406
0.936791,0.1065,-0.0952,0.4537,0.476
0.941712,0.2386,-0.3263,0.4986,0.642
0.946964,0.3166,-0.5821,0.4057,0.777
0.951836,0.1966,-0.6123,0.1617,0.663
0.956837,0.0157,-0.3300,-0.1608,0.367
0.961216,-0.1285,-0.1381,-0.3689,0.414
0.967291,-0.1994,0.0287,-0.3544,0.408
0.971274,-0.2344,0.2420,-0.2901,0.445
0.975919,-0.2275,0.4918,-0.1692,0.568
0.980781,-0.3311,1.0102,-0.1537,1.074
0.985806,-0.1691,0.7960,-0.2544,0.853
0.990564,0.0790,0.7308,-0.3780,0.827
0.995116,0.0553,1.1570,-0.4008,1.226
1.002080,0.4720,0.5276,-0.3022,0.770
1.005211,0.7643,-0.0714,-0.1024,0.774
1.009689,1.0997,-0.5122,0.1006,1.217
1.014554,1.0552,-0.3649,-0.0493,1.118
1.019448,0.7128,-0.2381,-0.1955,0.777
1.024184,0.4371,-0.0612,0.0961,0.452
1.029145,-0.0743,0.5020,0.5537,0.751
1.034407,-0.4251,0.7265,0.7463,1.125
1.039847,-0.4520,0.2328,0.8422,0.984
1.043281,-0.5286,-0.1211,0.9158,1.064
1.048862,-0.6063,-0.2344,0.8628,1.080
1.052999,-0.6312,0.1994,0.8196,1.054
1.057766,-0.6055,-0.1079,0.7814,0.994
1.063173,-0.4440,-0.4523,0.7933,1.015
1.067897,-0.2843,-0.4467,0.6887,0.869
1.072538,-0.1034,-0.3525,0.6064,0.709
1.077529,-0.0098,-0.2032,0.4820,0.523
1.083278,0.0519,-0.1197,0.4892,0.506
1.087398,0.1307,-0.1099,0.5012,0.529
1.092249,0.1551,-0.1559,0.4751,0.524
1.101070,0.1612,-0.1543,0.4091,0.466
1.101804,0.1637,-0.1219,0.2868,0.352
1.106909,0.1749,-0.0728,0.2037,0.278
1.111252,0.0665,0.4504,0.2874,0.538
1.116115,0.0215,0.1836,0.4465,0.483
1.121244,0.1983,-0.2572,0.5830,0.667
1.126092,0.2752,-0.4082,0.5713,0.754
1.130764,0.1936,-0.0781,0.7566,0.785
1.135710,-0.3842,0.7328,0.9855,1.287
1.140333,-0.4608,0.7593,1.4094,1.666
1.145243,-0.2791,0.2456,1.7228,1.762
1.150286,-0.1766,-0.3286,1.7205,1.760
1.155043,-0.2127,-0.4237,1.3859,1.465
1.159735,-0.2958,-0.4022,0.9876,1.107
1.165140,-0.4181,-0.3933,0.9177,1.082
1.169892,-0.5916,-0.2075,1.0928,1.260
1.174374,-0.7781,0.1535,1.2592,1.488
1.179322,-0.9005,0.4347,1.3292,1.663
1.183521,-0.8988,0.5371,1.3799,1.732
1.188985,-0.8264,0.4970,1.3493,1.658
1.193815,-0.6799,0.5349,1.2589,1.527
1.200664,-0.6966,0.7494,0.9631,1.405
1.204787,-0.4444,0.2476,0.5769,0.769
1.208554,-0.1966,-0.1013,0.1340,0.259
1.213424,-0.2799,0.2832,-0.2152,0.453
1.218092,-0.0273,0.2363,-0.3201,0.399
1.222947,0.5413,-0.7493,-0.1523,0.937
1.227632,0.7474,-1.2688,0.0560,1.474
1.232340,0.6955,-1.2060,-0.0369,1.393
1.240133,0.6106,-0.8951,-0.0532,1.085
1.250430,0.4130,-0.6340,0.0596,0.759
1.251933,0.1704,-0.4429,0.3707,0.602
1.253592,-0.0358,-0.3133,0.7722,0.834
1.256667,-0.2095,-0.2555,0.9149,0.973
1.261330,-0.4693,-0.0599,0.8949,1.012
1.266814,-1.1096,0.8218,0.7264,1.560
1.271002,-0.8859,0.3382,0.8065,1.245
1.275804,-0.6545,-0.6357,0.8195,1.226
1.281055,-0.4574,-1.4336,0.6459,1.638
1.285802,-0.4434,-1.5627,-0.0031,1.624
1.290737,-0.5580,-1.3727,-0.6083,1.602
1.295583,-0.7642,-1.1194,-0.6942,1.523
1.301115,-0.9809,-0.9033,-0.3451,1.377
1.305201,-1.1315,-0.8029,-0.0251,1.388
1.309992,-1.1527,-0.7891,0.1368,1.404
1.317126,-1.0655,-0.8179,0.0213,1.343
1.319719,-0.8837,-0.8746,-0.0989,1.247
1.324500,-0.6977,-0.9489,-0.1065,1.183
1.329259,-0.5875,-1.0215,-0.2048,1.196
1.334276,-0.5422,-1.0206,-0.2742,1.188
1.339408,-0.4984,-1.0108,-0.2191,1.148
1.343823,-0.5055,-0.9922,-0.1402,1.122
1.348627,-0.5525,-0.9605,-0.0374,1.109
1.353662,-0.5735,-0.9642,0.0031,1.122
1.358725,-0.5701,-1.0107,-0.0568,1.162
1.364628,-0.5131,-1.0954,-0.1310,1.217
1.368122,-0.4026,-1.1896,-0.2409,1.279
1.372902,-0.2628,-1.2834,-0.3579,1.358
1.378029,-0.0778,-1.4050,-0.5153,1.499
1.382838,0.1201,-1.5251,-0.6437,1.660
1.387660,0.2100,-1.4976,-0.6858,1.661
1.392802,0.2386,-1.4279,-0.6392,1.583
1.400389,0.2048,-1.3303,-0.5902,1.470
1.402780,0.1836,-1.2747,-0.4982,1.381
1.406730,0.1984,-1.2496,-0.3512,1.313
1.412290,0.2343,-1.2985,-0.2786,1.349
1.417490,0.1814,-1.2883,-0.2538,1.326
1.421197,0.1519,-1.2769,-0.2363,1.307
1.426286,0.0885,-1.2334,-0.2332,1.258
1.430998,0.0030,-1.2325,-0.2255,1.253
1.436049,-0.0926,-1.2000,-0.2156,1.223
1.440638,-0.2293,-1.1743,-0.2417,1.221
1.445451,-0.3139,-1.1342,-0.2822,1.210
1.450500,-0.3792,-1.0989,-0.3730,1.221
1.455720,-0.4462,-1.1088,-0.5737,1.326
1.460220,-0.4547,-1.1348,-0.7313,1.425
1.465044,-0.4234,-1.1696,-0.9317,1.554
1.470061,-0.3734,-1.1623,-1.1678,1.689
1.474739,-0.3925,-1.1603,-1.3963,1.857
1.481098,-0.4158,-1.1129,-1.5720,1.970
1.484969,-0.4190,-1.0866,-1.7593,2.110
1.489199,-0.4018,-1.0666,-1.9200,2.233
1.494258,-0.3496,-1.0596,-2.0446,2.329
1.499134,-0.2765,-1.0363,-2.1761,2.426
1.509926,-0.2561,-1.0086,-2.2834,2.509
1.510745,-0.3242,-1.0001,-2.3762,2.598
1.515921,-0.4020,-0.9320,-2.3635,2.572
1.518441,-0.4925,-0.8331,-2.3007,2.496
1.523191,-0.5153,-0.7871,-2.2210,2.412
1.528077,-0.5449,-0.7466,-2.1128,2.306
1.533075,-0.5436,-0.7475,-2.0501,2.249
1.537603,-0.5238,-0.7398,-1.9921,2.189
1.542795,-0.4980,-0.7502,-1.8793,2.084
1.547890,-0.4618,-0.7217,-1.6902,1.895
1.552407,-0.3751,-0.7339,-1.4584,1.675
1.557276,-0.2976,-0.6985,-1.2795,1.488
1.561544,-0.2814,-0.6686,-1.1774,1.383
1.567007,-0.2616,-0.6491,-1.0515,1.263
1.571923,-0.2260,-0.6667,-0.9402,1.175
1.576456,-0.2510,-0.6808,-0.9008,1.157
1.581266,-0.2975,-0.7080,-0.8949,1.179
1.586442,-0.3531,-0.7147,-0.9201,1.217
1.591304,-0.3794,-0.7032,-0.8736,1.184
1.598856,-0.4314,-0.7072,-0.8869,1.214
1.600957,-0.4995,-0.6998,-0.9958,1.316
1.605806,-0.5459,-0.6620,-1.0042,1.321
1.610614,-0.6693,-0.6486,-0.9624,1.340
1.619244,-0.7862,-0.6282,-0.9924,1.413
1.620176,-0.8036,-0.5887,-0.9961,1.409
1.624784,-0.8377,-0.4134,-1.0141,1.379
1.630571,-0.8144,-0.1604,-0.9533,1.264
1.635279,-0.4746,-0.6707,-0.6584,1.053
1.639559,-0.3514,-0.8742,-0.6913,1.169
1.644555,-0.3383,-0.7707,-0.9607,1.277
1.649364,-0.3243,-0.5759,-1.1796,1.352
1.654277,-0.3733,-0.3925,-1.2189,1.334
1.659285,-0.4286,-0.2183,-1.1266,1.225
1.663934,-0.4210,-0.1585,-1.0082,1.104
1.668760,-0.3384,-0.1414,-1.0332,1.096
1.673587,-0.3288,0.0213,-1.1370,1.184
1.678542,-0.1309,-0.2793,-0.9540,1.003
1.683082,-0.0993,-0.4732,-1.0197,1.129
1.688357,-0.1045,-0.4930,-1.1714,1.275
1.692773,-0.1608,-0.4773,-1.2798,1.375
1.698670,-0.2323,-0.3883,-1.2758,1.354
1.702923,-0.2978,-0.2956,-1.0783,1.157
1.713860,-0.3551,-0.2524,-0.8069,0.917
1.714797,-0.3682,-0.2213,-0.5813,0.723
1.716943,-0.3343,-0.2504,-0.4014,0.579
1.721834,-0.3445,-0.3304,-0.2289,0.529
1.726778,-0.3631,-0.4064,-0.0639,0.549
1.731406,-0.4046,-0.4142,0.0961,0.587
1.737145,-0.4575,-0.4401,0.2414,0.679
1.741004,-0.4891,-0.4389,0.4104,0.775
1.746039,-0.4593,-0.4513,0.6269,0.899
1.750997,-0.4448,-0.4274,0.8263,1.031
1.755598,-0.4117,-0.4107,0.9657,1.127
1.760562,-0.4022,-0.2820,1.0235,1.135
1.765827,-0.2871,-0.2975,1.1912,1.261
1.770519,-0.1122,-0.4229,1.2895,1.362
1.775208,0.0160,-0.4539,1.1152,1.204
1.780155,0.1150,-0.4401,0.8720,0.983
1.785009,0.1805,-0.4215,0.7056,0.842
1.789818,0.1963,-0.4019,0.5683,0.723
1.795544,0.2441,-0.4308,0.4122,0.644
1.799657,0.2592,-0.5054,0.3353,0.660
1.804390,0.2032,-0.5295,0.3877,0.687
1.809371,0.1384,-0.6228,0.4090,0.758
1.816402,0.0915,-0.7254,0.4041,0.835
1.818891,0.0990,-0.7807,0.4495,0.906
1.823848,0.1860,-0.9538,0.8103,1.265
1.829473,0.1708,-1.0632,0.9485,1.435
1.833654,0.1026,-1.1021,1.0675,1.538
1.838467,-0.0976,-0.9658,1.2534,1.585
1.843356,-0.0884,-1.0723,0.9826,1.457
1.847878,0.2338,-1.3731,1.1017,1.776
1.853018,0.1804,-1.3156,1.0963,1.722
1.857501,0.3565,-1.4795,1.3156,2.012
1.862602,0.4335,-1.5233,1.2621,2.025
1.867712,0.3246,-1.4433,1.1271,1.860
1.872190,0.2623,-1.3422,1.0949,1.752
1.876921,0.2435,-1.2777,1.2155,1.780
1.881573,0.1508,-1.1589,1.2210,1.690
1.886832,0.0318,-1.0694,1.1020,1.536
1.891529,-0.1263,-1.0091,0.9328,1.380
1.897239,-0.3002,-0.9442,0.7304,1.231
1.901362,-0.4145,-0.8959,0.5520,1.131
1.905956,-0.4911,-0.8399,0.4217,1.060
1.916061,-0.4614,-0.7301,0.2176,0.891
1.916790,-0.3910,-0.6691,0.0425,0.776
1.920948,-0.3003,-0.6130,-0.0749,0.687
1.925338,-0.1691,-0.6811,-0.0653,0.705
1.930386,-0.0529,-0.6935,-0.0387,0.697
1.935247,0.0835,-0.7026,0.0526,0.710
1.939970,0.2586,-0.7350,0.2205,0.810
1.945923,0.4412,-0.7650,0.4482,0.990
1.949901,0.6363,-0.7740,0.7236,1.236
1.954691,0.7634,-0.7775,1.0179,1.491
1.959559,0.8473,-0.8266,1.2953,1.755
1.964572,0.8861,-0.8483,1.6177,2.030
1.969128,0.9088,-0.8797,1.9828,2.352
1.973708,0.8307,-0.8763,2.1561,2.471
1.979113,0.6655,-0.8438,2.2047,2.453
1.983517,0.4983,-0.8089,2.1095,2.314
1.988407,0.3327,-0.8270,1.9400,2.135
1.993281,0.1692,-0.8405,1.6939,1.898
1.998154,-0.0084,-0.8009,1.3760,1.592
2.002902,-0.1931,-0.7744,0.9842,1.267
2.007966,-0.2946,-0.7815,0.5759,1.015
2.013959,-0.3402,-0.8138,0.1800,0.900
2.017724,-0.3761,-0.8056,-0.2082,0.913
2.022454,-0.3510,-0.8084,-0.5146,1.021
2.027993,-0.3303,-0.7259,-0.7440,1.091
2.032553,-0.3148,-0.6341,-0.9346,1.172
2.037113,-0.2792,-0.4943,-1.0196,1.167
2.041222,-0.1615,-0.3738,-1.0064,1.086
2.046453,0.0072,-0.2610,-0.9978,1.031
2.051633,0.1816,-0.1945,-0.9819,1.017
2.056273,0.3189,-0.1484,-0.9540,1.017
2.062231,0.4145,-0.0773,-0.9260,1.018
2.066213,0.4065,-0.0293,-0.9578,1.041
2.070846,0.4245,-0.0092,-0.9942,1.081
2.075580,0.3997,-0.0052,-1.0400,1.114
2.080581,0.4040,-0.0316,-1.0403,1.116
2.085314,0.3275,-0.0671,-1.0405,1.093
2.089975,0.2923,-0.0880,-1.0550,1.098
2.097138,0.2192,-0.1205,-1.0288,1.059
2.100086,0.1606,-0.1649,-1.0121,1.038
2.104560,0.1188,-0.1831,-0.9882,1.012
2.109607,0.1015,-0.1922,-1.0432,1.066
2.119187,0.0796,-0.2115,-1.0217,1.046
2.120037,0.0768,-0.2413,-0.9692,1.002
2.124014,0.0832,-0.2316,-0.9526,0.984
2.129405,0.1102,-0.2303,-0.9241,0.959
2.133616,0.1260,-0.2064,-0.8719,0.905
2.138692,0.1634,-0.1981,-0.8008,0.841
2.143148,0.2097,-0.1912,-0.7228,0.777
2.148090,0.2742,-0.1665,-0.6117,0.691
2.152932,0.3641,-0.1313,-0.5200,0.648
2.157782,0.4580,-0.1100,-0.4192,0.631
2.162791,0.4824,-0.0906,-0.3449,0.600
2.167737,0.5501,-0.1021,-0.3093,0.639
2.172501,0.6137,-0.1155,-0.3192,0.701
2.179059,0.6142,-0.1402,-0.3484,0.720
2.182195,0.5857,-0.1591,-0.4375,0.748
2.187363,0.5192,-0.1643,-0.6052,0.814
2.193997,0.4316,-0.1961,-0.7895,0.921
2.197457,0.3115,-0.2539,-0.9640,1.044
2.201102,0.2403,-0.2986,-1.1620,1.224
2.206732,0.1561,-0.3705,-1.3285,1.388
2.213048,0.1115,-0.3855,-1.4421,1.497
2.216731,-0.0080,-0.4080,-1.5411,1.594
2.221191,-0.1114,-0.3590,-1.6182,1.661
2.225944,-0.1456,-0.3702,-1.6066,1.655
2.230699,-0.1132,-0.3726,-1.5734,1.621
2.235766,-0.0766,-0.3687,-1.5042,1.551
2.240333,-0.0792,-0.3948,-1.4397,1.495
2.245177,-0.1024,-0.3580,-1.3442,1.395
2.250632,-0.0988,-0.3160,-1.2535,1.296
2.254908,-0.1431,-0.2646,-1.1820,1.220
2.260911,-0.1428,-0.2018,-1.0820,1.110
2.266368,-0.0941,-0.1711,-0.9201,0.941
2.269566,0.0001,-0.1418,-0.7753,0.788
2.274331,0.0723,-0.1357,-0.6739,0.691
2.279730,0.1320,-0.1388,-0.5992,0.629
2.284056,0.1574,-0.0698,-0.5105,0.539
2.288761,0.1608,-0.0557,-0.4603,0.491
2.295642,0.1783,-0.0080,-0.4583,0.492
2.299493,0.2076,-0.0101,-0.5281,0.568
2.303324,0.1990,-0.0091,-0.6171,0.648
2.308423,0.2197,-0.0233,-0.7229,0.756
2.315561,0.1887,-0.0472,-0.8356,0.858
2.322897,0.1564,-0.0609,-0.9052,0.921
2.323605,0.0706,-0.0162,-0.9531,0.956
2.327679,0.0322,0.0105,-0.9841,0.985
2.332686,-0.0230,0.0483,-1.0126,1.014
2.337172,-0.1134,0.0827,-0.9835,0.993
2.342345,-0.2006,0.0752,-0.8899,0.915
2.347088,-0.2601,0.0593,-0.7699,0.815
2.351966,-0.3393,0.0510,-0.6596,0.744
2.356886,-0.3781,0.0168,-0.5637,0.679
2.361028,-0.4242,-0.0104,-0.4176,0.595
2.366499,-0.4490,-0.0140,-0.2287,0.504
2.371210,-0.4908,-0.0207,-0.0281,0.492
2.376219,-0.5138,-0.0118,0.1269,0.529
2.384279,-0.4845,0.0437,0.2673,0.555
2.385849,-0.4342,0.0547,0.3693,0.573
2.390866,-0.3725,0.0788,0.3947,0.548
2.395346,-0.3090,0.0849,0.3913,0.506
2.400488,-0.2367,0.1188,0.3498,0.439
2.405295,-0.1919,0.1209,0.2940,0.371
2.411788,-0.1464,0.1349,0.2191,0.296
2.414920,-0.1296,0.1444,0.1373,0.238
2.419817,-0.1184,0.1115,0.1033,0.193
2.424273,-0.1345,0.1227,0.0073,0.182
2.429677,-0.1090,0.1016,-0.0503,0.157
2.434188,-0.0805,0.1077,-0.0123,0.135
2.439017,-0.0302,0.0790,0.0496,0.098
2.444008,0.0413,0.0583,0.1353,0.153
2.448775,0.0717,0.0335,0.2926,0.303
2.453558,0.0584,-0.0054,0.4257,0.430
2.460102,0.0686,-0.0084,0.6064,0.610
2.463807,0.0665,-0.0336,0.7677,0.771
2.468217,0.0858,-0.0957,0.9455,0.954
2.473117,0.0934,-0.1473,1.1470,1.160
2.478059,0.0891,-0.2584,1.2770,1.306
2.482836,0.1074,-0.3136,1.3299,1.371
2.487657,0.1132,-0.4152,1.3374,1.405
2.494676,0.1596,-0.5061,1.3472,1.448
2.497564,0.1653,-0.6406,1.2878,1.448
2.502223,0.1134,-0.6764,1.2286,1.407
2.507030,-0.0363,-0.7259,1.1527,1.363
2.511706,-0.1852,-0.7411,1.0555,1.303
2.516739,-0.2875,-0.7720,0.8844,1.209
2.521839,-0.3672,-0.7704,0.6610,1.080
2.526715,-0.3822,-0.7740,0.5359,1.016
2.531344,-0.3572,-0.7272,0.5019,0.953
2.535910,-0.3857,-0.6916,0.3867,0.881
2.540818,-0.3574,-0.6548,0.1738,0.766
2.545827,-0.3223,-0.6546,-0.0461,0.731
2.550652,-0.2777,-0.6215,-0.2967,0.743
2.555263,-0.2093,-0.5763,-0.5518,0.825
2.560363,-0.1843,-0.4756,-0.7468,0.904
2.565013,-0.1794,-0.3477,-0.8770,0.960
2.570050,-0.1593,-0.1876,-0.9618,0.993
2.576502,-0.1125,-0.0667,-1.0369,1.045
2.580103,-0.0396,0.0007,-1.0953,1.096
2.584347,0.1569,0.0003,-1.0868,1.098
2.591597,0.3642,-0.0342,-1.0544,1.116
2.594363,0.5938,-0.0885,-1.0102,1.175
2.599211,0.7858,-0.1457,-0.9303,1.226
2.603792,0.9666,-0.2105,-0.7860,1.263
2.611190,1.0549,-0.2662,-0.6060,1.245
2.613735,1.0604,-0.3441,-0.3737,1.176
2.618935,0.9810,-0.4212,-0.0509,1.069
2.623170,0.8313,-0.5676,0.3218,1.057
2.627536,0.6756,-0.7275,0.7706,1.257
2.633113,0.5094,-0.8830,1.2429,1.607
